id,latitude,longitude,datetime,decibel_level,hour,day_of_week,is_weekend,temperature_c,humidity_%,wind_speed_kmh,precipitation_mm,traffic_density,near_airport,near_highway,near_construction,population_density,park_proximity,industrial_zone,vehicle_count,honking_events,public_event,holiday,school_zone,noise_complaints,sensor_id
1,40.64981604753890,-74.06914715813210,2023-04-01 18:50:00,78.28640828248230,18,5,1,16.710979290217600,43.054746697496800,28.737658989421700,0.5154473556037740,4,0,0,0,28384,0,0,24,1,0,0,1,1,31
2,40.88028572256400,-74.076510600464,2023-03-18 04:12:00,68.1318447386498,4,5,1,10.088748893607200,29.6762460749736,15.68118139214370,0.00821976889403324,2,0,0,0,24206,0,0,15,2,0,0,0,0,40
3,40.79279757672460,-73.74687270973950,2023-12-03 05:43:00,58.934966117842600,5,6,1,19.9110750224607,47.932831643381300,36.197180679272600,0.8399450142687740,4,0,1,0,1894,1,0,15,2,0,0,0,0,41
4,40.73946339367880,-74.07522690007530,2023-06-20 00:44:00,69.55904195170700,0,1,0,3.477519737175420,88.59401029476660,22.400159569156700,6.938481545311780,4,0,0,0,2265,1,0,24,4,0,0,1,2,50
5,40.56240745617700,-74.06402513693570,2023-12-28 12:06:00,60.40909689781010,12,3,0,17.35630252177010,35.81169890535030,18.01560305623720,2.3746736430542400,3,0,0,1,23807,1,0,25,2,0,0,0,0,8
6,40.56239780813450,-73.82030086879100,2023-02-13 17:40:00,58.05399630836860,17,0,0,18.112176976066100,62.85110612602600,25.866910126396200,1.0260742812060700,2,0,0,0,17746,0,0,15,1,0,0,0,2,39
7,40.52323344486730,-73.97513007877470,2023-08-04 06:02:00,53.456373317670200,6,4,0,23.56220268061650,50.30811348877940,38.11215392996690,0.42781293305289000,2,0,0,0,24548,1,0,17,2,0,0,0,0,8
8,40.84647045831000,-73.81164472152240,2023-07-06 18:59:00,47.48171193248280,18,3,0,24.81535574599490,24.971719735452900,31.78209177686820,0.8803916150681010,3,0,1,1,10965,1,0,26,3,0,0,1,1,47
9,40.74044600469730,-74.1673169212178,2023-09-22 03:53:00,61.100762934405500,3,4,0,14.475012667646000,54.151362419864200,1.6005252214049700,0.37227228609471800,2,0,0,1,9505,1,1,27,4,0,1,0,1,31
10,40.78322903111840,-73.95621440316330,2023-07-25 23:32:00,66.58053489920130,23,1,0,16.945701897590500,69.15150300538190,13.292396429598400,0.22478328867511500,5,0,0,1,23016,0,0,24,4,0,0,0,2,19
11,40.50823379771830,-74.18319319990840,2023-07-05 10:54:00,64.0337632998511,10,2,0,12.637154185725300,55.92539830794730,18.821787398048900,4.744778856669380,5,0,0,0,19090,0,0,21,2,0,0,0,1,36
12,40.88796394086480,-74.16867339827230,2023-10-16 12:04:00,60.84033072052640,12,0,0,10.103562116346100,81.04742446226070,12.580702888364200,12.106967901513600,3,0,0,0,8334,0,1,14,1,0,0,0,0,39
13,40.83297705632020,-73.7467812733278,2023-01-04 17:03:00,55.542539393032200,17,2,0,20.169263455664400,40.22559116603080,28.00750243321830,0.3585271294726050,4,0,1,0,29041,1,1,20,2,0,1,0,1,32
14,40.58493564427130,-74.1303773144412,2023-12-08 01:54:00,71.08246191684970,1,4,0,9.084901159823810,26.037441991277500,33.050765994503200,0.11213050074641900,5,0,0,0,24297,0,0,32,2,0,0,0,2,21
15,40.57272998688280,-73.9337896588624,2023-08-14 21:00:00,51.82868080053420,21,0,0,15.097611695997000,85.55959281606040,29.25380380741090,0.800152628983852,3,0,0,1,14374,0,0,18,1,0,1,0,0,23
16,40.573361803941400,-73.99445219869970,2023-06-20 20:58:00,72.76027913843480,20,1,0,11.033782280705300,46.47374446697530,39.57333147313100,1.238526852767650,5,0,1,0,29943,0,0,19,1,0,0,0,0,36
17,40.62169689718380,-74.02632833687060,2023-05-06 02:31:00,54.97782981073280,2,5,1,21.847782304031800,60.34838860175430,10.901905915721200,0.45837668631302500,1,0,0,1,14348,1,0,17,4,0,0,0,1,15
18,40.709902572652900,-73.75008332715640,2023-06-25 12:09:00,57.47564762646970,12,6,1,30.610010694865400,75.44021882911370,34.99957980097690,0.7174252136961700,3,0,1,0,16375,1,0,21,6,0,0,0,1,2
19,40.67277800745690,-74.18908830161230,2023-11-11 18:49:00,50.33214809384320,18,5,1,8.888884120376680,42.70195647129060,30.664906606979400,0.4484651273751260,2,0,0,0,27365,1,0,24,2,0,0,0,4,12
20,40.61649165607920,-73.86810515691220,2023-07-20 08:19:00,59.98597853114360,8,3,0,5.028870619717020,70.13151767243280,14.487150302325800,2.976747805085150,5,0,1,1,3393,1,1,12,2,0,0,0,0,38
21,40.74474115788900,-73.71830278289320,2023-03-18 12:46:00,74.75312458477980,12,5,1,17.12579180254950,29.479319487248000,29.364981746278700,2.493607124895720,2,0,0,0,12802,0,1,17,3,0,0,0,0,6
22,40.55579754426080,-73.91991590826910,2023-12-10 16:33:00,70.15628088443960,16,6,1,18.10988457170430,40.39056230438540,4.1630382567298800,2.015450201379360,3,0,0,1,25510,0,1,19,2,0,0,0,1,46
23,40.61685785941410,-73.73158876898350,2023-05-24 19:58:00,74.78422112028040,19,2,0,19.530615147301100,30.129744529556400,31.573339293622100,0.9794916022452860,5,1,0,0,4694,0,0,16,4,0,0,0,3,38
24,40.64654473731750,-74.17387106035700,2023-02-20 23:12:00,70.22142545933940,23,0,0,14.875756393359600,76.78613908809500,21.293224103484100,4.794691556509500,2,1,1,0,27856,0,0,14,2,0,0,0,0,1
25,40.682427993686800,-73.99060334046290,2023-03-06 20:13:00,53.96330171469630,20,0,0,16.59552490822200,35.58544646587500,11.691606908370100,6.982192201048260,4,0,1,0,18373,1,0,14,1,0,0,1,0,38
26,40.814070384557200,-74.06992110451900,2023-11-22 02:58:00,61.692107756724400,2,2,0,20.572572873784200,70.21824887836470,26.231092071367200,0.38144786649792500,4,0,0,1,15911,1,0,15,1,0,0,0,1,50
27,40.57986951286340,-73.83458951750960,2023-05-13 20:04:00,57.19800870882540,20,5,1,25.283016248513900,86.03088780719570,25.66479994857640,0.5046623965203920,1,0,1,0,21064,1,0,11,3,0,0,0,1,26
28,40.70569377536550,-73.70935145475140,2023-09-16 02:38:00,78.3057490403904,2,5,1,4.314658607772020,56.94405463482140,8.379448908783990,1.4915396763202700,3,0,0,0,11655,0,0,19,2,0,0,1,2,48
29,40.736965827544800,-74.07173496877790,2023-07-17 03:43:00,53.03211353573690,3,0,0,15.417423926779800,57.802043458248100,1.2158965924610500,0.19137175315998200,2,0,1,0,10096,0,1,23,4,0,0,1,0,23
30,40.518580165088,-73.87291269926300,2023-05-12 10:13:00,73.93697689389110,10,4,0,19.496661557587400,52.272349766846800,17.344903476067000,1.1469927541300600,1,1,1,0,7410,0,1,15,3,0,0,0,0,1
31,40.74301794076060,-74.10095118362010,2023-11-07 13:13:00,73.9295387010877,13,1,0,11.574167267724800,42.812310037555000,22.78047477377690,1.7435492090777300,3,1,0,0,28620,1,0,19,4,0,0,0,0,21
32,40.568209649474900,-73.91733487271420,2023-02-22 12:29:00,83.29620201716090,12,2,0,30.118187422371100,53.2958521647442,35.064211134823900,1.476596945699970,4,1,1,0,4397,0,0,18,3,0,0,0,1,19
33,40.526020637194100,-73.96803375665580,2023-01-17 17:33:00,60.903134073705000,17,1,0,13.552130838398800,62.19652725867320,37.12867182590380,0.8036691621424560,2,0,0,0,21381,0,0,25,2,0,0,0,1,29
34,40.87955421490130,-73.71399733518420,2023-04-29 16:00:00,72.12322159580160,16,5,1,17.71095119094900,89.01941005194620,21.152208726270700,1.5637198892403100,5,0,0,0,14031,1,1,17,3,0,0,0,1,50
35,40.886252813229800,-73.89573636365180,2023-09-15 22:41:00,87.81651836538840,22,4,0,21.892154677896000,85.6435191522757,30.152139350741800,6.3786803690348200,4,0,0,1,1910,1,0,18,2,0,0,0,0,26
36,40.82335893924660,-74.0252468139566,2023-12-19 16:31:00,58.82358323066300,16,1,0,13.861006478386700,80.35070708051850,17.572130893119900,0.46138747547536200,5,0,1,0,23970,0,1,22,2,0,0,0,2,34
37,40.62184550766940,-74.14295210755600,2023-10-05 08:26:00,49.6495975246764,8,3,0,5.073988665369080,82.23913749934010,29.84328626291570,2.1274443302665100,5,0,1,1,28183,0,0,36,4,0,0,0,2,17
38,40.53906884560260,-74.12437658563250,2023-07-30 22:31:00,46.19989966092240,22,6,1,14.999418311584300,52.74944283044300,8.192060997566680,0.0887329838301584,2,0,1,0,23365,0,1,13,1,0,0,0,2,18
39,40.77369321060490,-74.08734153502440,2023-05-31 13:32:00,72.12712028861330,13,2,0,25.206083891489300,66.02110290242250,14.842589392141300,0.1374495387478590,2,0,1,1,27321,1,0,27,2,0,0,1,1,32
40,40.67606099749580,-74.07451666932990,2023-01-07 11:47:00,46.168497919414200,11,5,1,15.64173411250400,82.65467060553500,25.369119952544600,1.6051573839691100,5,0,1,0,19507,0,1,14,4,0,0,1,0,4
41,40.54881529393790,-73.77469197107940,2023-12-04 23:12:00,61.27680947062080,23,0,0,12.07495988978720,47.50655354939470,0.7263186242831530,0.221727216150551,1,0,0,0,29918,1,0,24,2,0,0,0,2,30
42,40.69807076404450,-73.91938860585870,2023-10-17 11:04:00,69.37313187038960,11,1,0,24.47970546651910,87.32337348418280,28.89845241355820,0.04520052244503720,5,0,0,1,19235,1,0,19,0,0,0,0,1,31
43,40.51375540844610,-73.93830454431280,2023-09-06 19:38:00,66.85175536829910,19,2,0,15.68457572783860,49.10502434484280,33.421420050726700,0.3763082608151740,5,0,0,0,15915,0,0,20,3,0,0,0,1,18
44,40.86372816083150,-74.1426155640654,2023-12-06 11:04:00,69.25444864184170,11,2,0,14.42887430444850,62.07578657752510,15.965666443758100,1.6641251493145000,2,0,0,0,23840,0,1,14,3,0,0,0,2,5
